"","NUHI*","deCODE Genetics"
"27.02","23",""
"28.02","13",""
"29.02","32",""
"01.03","22",""
"02.03","48",""
"03.03","45",""
"04.03","81",""
"05.03","62",""
"06.03","57",""
"07.03","58",""
"08.03","37",""
"09.03","98",""
"10.03","169",""
"11.03","149",""
"12.03","253",""
"13.03","357",""
"14.03","323",""
"15.03","119","956"
"16.03","291","1416"
"17.03","545","855"
"18.03","420","1408"
"19.03","456","855"
"20.03","498","81"
"21.03","320","30"
"22.03","183",""
"23.03","357","102"
"24.03","507","460"
"25.03","461","427"
"26.03","392","606"
"27.03","504","518"
"28.03","359","490"
"29.03","510","490"
"30.03","510","910"
"31.03","815","797"
"01.04","597","817"
"02.04","335","930"
"03.04","383","1062"
"04.04","574","1180"
"05.04","867","1619"
"06.04","235","877"
"07.04","671","1284"
"08.04","661","1015"
"09.04","561","941"
"10.04","268","242"
"11.04","219","399"
"12.04","228","7"
"13.04","161","690"
"14.04","177","870"
"15.04","336","482"
"16.04","360","972"
"17.04","292","1263"
"18.04","246","1425"
"19.04","96","285"
"20.04","113","575"
"21.04","240","397"
"22.04","194","431"
"23.04","178","15"
"24.04","77","608"
"25.04","199","182"
"26.04","25","0"
"27.04","229","459"
"28.04","109","399"
"29.04","142","698"
"30.04","211","511"
"01.05","34","833"
"02.05","35","369"
"03.05","71","0"
"04.05","119","749"
"05.05","40","278"
"06.05","252","368"
"07.05","95","367"
"08.05","174","341"
"09.05","63","872"
"10.05","18"
"11.05","131","447"
"12.05","100","184"
"13.05","183","368"
"14.05","129","464"
"15.05","113","410"
"16.05","133","0"
"17.05","7","0"
"18.05","121","184"
"19.05","86","355"
"20.05","133","464"
"21.05","70",""
"22.05","141","350"
